Name,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary
Mel Hall,442,131,18,68,77,33,6,1416,398,47,210,203,136,1,0,233,7,7,550
Jerry Royster,257,66,5,31,26,32,14,3910,979,33,518,324,382,0,1,87,166,14,250
Ken Oberkfell,503,136,5,62,48,83,10,3423,970,20,408,303,414,0,1,65,258,8,725
Kirby Puckett,680,223,31,119,96,34,3,1928,587,35,262,201,91,1,1,429,8,6,365
Alan Trammell,574,159,21,107,75,59,10,4631,1300,90,702,504,488,1,0,238,445,22,517.143
Ken Phelps,344,85,24,69,64,88,7,911,214,64,150,156,187,1,1,0,0,0,300
Gary Matthews,370,96,21,49,46,60,15,6986,1972,231,1070,955,921,0,0,137,5,9,733.333
Rob Deer,466,108,33,75,86,72,3,652,142,44,102,109,102,1,0,286,8,8,215
Lance Parrish,327,84,22,53,62,38,10,4273,1123,212,577,700,334,1,0,483,48,6,800
Denny Walling,382,119,13,54,58,36,12,2133,594,41,287,294,227,0,1,59,156,9,595
Gary Pettis,539,139,5,93,58,69,5,1469,369,12,247,126,198,1,1,462,9,7,400
Jack Clark,232,55,9,34,23,45,12,4405,1213,194,702,705,625,0,0,623,35,3,1300
Steve Garvey,557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,0,1,1160,53,7,1450
Don Mattingly,677,238,31,117,113,53,5,2223,737,93,349,401,171,1,0,1377,100,6,1975
Jose Cruz,479,133,10,48,72,55,17,7472,2147,153,980,1032,854,0,1,237,5,4,773.333
Rey Quinones,312,68,2,32,22,24,1,312,68,2,32,22,24,1,0,86,150,15,70
Ted Simmons,127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,0,1,167,18,6,500
Bobby Bonilla,426,109,3,55,43,62,1,426,109,3,55,43,62,1,1,361,22,2,115
Darrell Evans,507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,1,0,808,108,2,535
Rick Dempsey,327,68,13,42,29,45,18,3949,939,78,438,380,466,1,0,659,53,7,400
Mike Marshall,330,77,19,47,53,27,6,1928,516,90,247,288,161,0,1,149,8,6,670
Tito Landrum,205,43,2,24,17,20,7,854,219,12,105,99,71,0,0,131,6,1,286.667
Ron Roenicke,275,68,5,42,42,61,6,961,238,16,128,104,172,0,0,181,3,2,191
Mike Young,369,93,9,43,42,49,5,1258,323,54,181,177,157,1,0,149,1,6,350
Terry Harper,265,68,8,26,30,29,7,1337,339,32,135,163,128,0,1,92,5,3,425
Doug DeCinces,512,131,26,69,96,52,14,5347,1397,221,712,815,548,1,1,119,216,12,850
Kurt Stillwell,279,64,0,31,26,30,1,279,64,0,31,26,30,0,1,107,205,16,75
Bill Schroeder,217,46,7,32,19,9,4,694,160,32,86,76,32,1,0,307,25,1,180
Tony Pena,510,147,10,56,52,53,7,2872,821,63,307,340,174,0,0,810,99,18,1150
Wayne Tolleson,475,126,3,61,43,52,6,1700,433,7,217,93,146,1,1,37,113,7,385
Reggie Jackson,419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,1,1,0,0,0,487.5
Jerry Mumphrey,309,94,5,37,32,26,13,4618,1330,57,616,522,436,0,0,161,3,3,600
Andres Thomas,323,81,6,26,32,8,2,341,86,6,32,34,8,0,1,143,290,19,75
Rick Leach,246,76,5,35,39,13,6,912,234,12,102,96,80,1,0,44,0,1,250
Rafael Santana,394,86,1,38,28,36,4,1089,267,3,94,71,76,0,0,203,369,16,250
Robin Yount,522,163,9,82,46,62,13,7037,2019,153,1043,827,535,1,0,352,9,1,1000
Ron Oester,523,135,8,52,44,52,9,3368,895,39,377,284,296,0,1,367,475,19,750
