sleep_time study_time stress_level exercise_activity social_activity GPA
6.09589041096 292 2.41635687732 41 4.24050632911 3.519
5.125 54 1.84 11 2.125 3.719
7.92307692308 78 2.06666666667 24 2.8 3.505
8.3 61 2.49090909091 44 2.48275862069 3.889
7.5 6 3.375 0.0 4.33333333333 3.679
7.84615384615 26 2.23333333333 18 2.05555555556 3.245
7.57142857143 14 2.0 3 3.42857142857 3.652
7.49180327869 93 1.92537313433 78 4.44444444444 3.389
7.90769230769 140 2.1308411215 71 3.025 3.373
8.14893617021 193 2.4696969697 34 4.21428571429 3.826
5.58333333333 24 1.95 6 2.72727272727 3.343
5.90909090909 57 1.875 26 1.95454545455 3.474
7.0 117 1.8 47 2.76744186047 3.705
4.9 228 2.85714285714 25 2.45161290323 3.476
6.85365853659 140 2.89655172414 39 3.90625 2.815
7.30434782609 55 2.46341463415 10 2.53846153846 2.4
7.69565217391 44 1.94871794872 17 4.08 2.987
7.11764705882 62 2.93333333333 10 3.76470588235 3.93
6.47058823529 72 1.86046511628 49 3.07407407407 3.029
7.78723404255 136 2.39622641509 34 3.13333333333 3.667
8.0 8 3.0 0.0 3.0 3.806
7.48 123 1.88311688312 34 3.11363636364 3.79
7.4 31 2.65 20 3.07142857143 2.765
7.31578947368 48 1.5 23 4.4 2.815
7.04166666667 87 3.24528301887 31 3.25 3.474
6.96666666667 83 2.16216216216 8 3.23076923077 3.293
6.26086956522 49 2.69696969697 22 3.76470588235 3.646
7.22222222222 64 2.25 7 3.5 2.863
6.80487804878 203 3.3606557377 38 3.42424242424 3.625
7.83636363636 323 1.97802197802 122 3.48717948718 3.947
